4543612;MANGA,BOR,TIP.I/II,C0, 1000V,TAM.R,EMS25;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543613;OCULOS DE SEG C/ PROTEÇAO LATERAL FUME;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543614;"OCULOS,SEG;AMPLAVISAO;PVC;INCOLOR;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543615;PLACA,ADVERT,NAO OPERE ESTE EQUIP,EMS38;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543616;"PLACA,EDUCATIVA;FIB VD;340X240X3MM;EMS39";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543617;"PLACA,FIB VID;340X240MM;EXTINT.BLOQUEADO";FORA DE PADRÃO;12/03/2019;12/03/2019
4543618;BOLSA LONA P/ GUARDA DE LUVAS ISOLANTES;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543619;"SACOLA,PROT;LONA 10;VERDE;COND MAT;EMS44";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543620;"SACOLA,PROT;LONA 10;VARA MAN SECC;EMS45";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543621;"TALABARTE,CINTURAO DE SEGUR;LONADO;EMS4";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543623;"VISEIRA,CAPACETE;MOTOCICLISTA;EMS-10";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543634;BOTA,SEG,COURO,SOLADO PU,PRETA,34,EMS06;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543635;BOTA,SEG,COURO,SOLADO PU,PRETA,35,EMS06;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543636;BOTA,SEG,COURO,SOLADO PU,PRETA,36,EMS06;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543637;BOTA,SEG,COURO,SOLADO PU,PRETA,37,EMS06;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543638;BOTA,SEG,COURO,SOLADO PU,PRETA,39-EMS06;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543639;BOTA,SEG,COURO,SOLADO PU,PRETA,40-EMS06;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543640;BOTA,SEG,COURO,SOLADO PU,PRETA,41-EMS06;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543641;BOTA,SEG,COURO,SOLADO PU,PRETA,42-EMS06;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543642;BOTA,SEG,COURO,SOLADO PU,PRETA,43-EMS06;NÃO-ESTOQUE;12/03/2019;12/03/2019
